file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/5e2725aa916cd10f1bf1137482ebcb695067e117b79def9ceb533cf8896888ba.json,raw_json,19,63458,1,numeric,numeric,0,0,0,0,0,0,0,0,0,11,0,0,1,1,75
python_backend_legacy/dataset/5f3b3aecada79d8b9d9af7ea49434eca7c935a6cc138f3f4639f8d34a312b8a0.json,raw_json,23,49774,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,47,47,129
python_backend_legacy/dataset/5f7d401c8c93c3deeed929b501b159c94179557a893082654b1c247193f10892.json,raw_json,17,55285,0,tex_superscript,tex,6,0,0,50,6,0,0,0,0,5,0,0,2,0,0
python_backend_legacy/dataset/5f92ab5a6779c7b7578c1c5662a70f4746253e2364a73804c9de432d92665955.json,raw_json,9,30347,1,unknown,tex,0,0,0,0,0,0,0,0,0,0,0,32,0,0,109
python_backend_legacy/dataset/5fb31ff44dcec6aee0e4cc624be492d9aa3cc9df9c2bbfe85e3a854d2de4c58d.json,raw_json,23,41500,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,41,38,113
python_backend_legacy/dataset/600524315d283cd4e89f46cbeffe0727d1e45a13c957f04d60ebd2f11ac509ae.json,raw_json,24,58308,1,numeric,numeric,5,0,0,36,5,0,0,0,0,16,0,0,0,0,91
python_backend_legacy/dataset/6112b679345433c0eb7a0dddaf7b8d27be9c7498fe32b693b667801efaecd2c7.json,raw_json,28,72404,0,tex_superscript,tex,14,0,0,703,7,0,0,0,0,32,0,0,18,0,0
python_backend_legacy/dataset/6181a9ad7e7d56819a62f646e6de0f7d2135c37ff39566190e8348c0fd5a55b0.json,raw_json,23,80136,0,numeric,numeric,1,0,0,32,1,0,0,0,0,13,0,0,0,0,0
python_backend_legacy/dataset/61bf3f6d0f99a88c7cf9781161e246b0019ef554386fc2f2c596f13d0870ede9.json,raw_json,36,86820,0,hybrid,tex,3,0,0,24,3,0,0,0,0,9,0,0,0,0,0
python_backend_legacy/dataset/61d31745459257dadb770c518af3b0a3c8726ef89272545669ab646b5214efb3.json,raw_json,58,113552,1,numeric,numeric,0,0,0,0,0,0,0,0,0,227,226,226,1,0,325
python_backend_legacy/dataset/61f291a03a85a219e3c46bd74d9c58892a07db9e57ff20df432942b9d3f6dd9a.json,raw_json,33,107647,0,numeric,numeric,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0
python_backend_legacy/dataset/62543f97d653b95edfa742a9a657b6a570f32adf04f0606265d8a13be713d0e3.json,raw_json,32,94311,0,tex_superscript,tex,14,0,0,102,7,0,0,0,0,52,0,0,1,0,0
python_backend_legacy/dataset/63e696d768922ea89bcaa42bd78924e07615958b5bf7b164b24710e8aebbd59a.json,raw_json,15,43094,0,hybrid,tex,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0
python_backend_legacy/dataset/647a42e856aa02d94f2dc502f6130295614cc719ba90f296af1ea6f6d0b995d0.json,raw_json,30,54184,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/64bf8a36d93650c4e7f6e81170de768a95d46210f6d3ea999cc258d2d93cb1ec.json,raw_json,81,250338,0,tex_superscript,tex,20,0,0,304,20,0,0,0,0,52,0,0,0,0,0
python_backend_legacy/dataset/64c7005eaed374ffa00861b78f9f23e7fccda2a5fb482a1f6e10e135cedc2b84.json,raw_json,38,131124,0,numeric,numeric,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
python_backend_legacy/dataset/65640ae4b5061ffca2241a61e428b976656df3da76ef48016b83b21cafde1c23.json,raw_json,31,113108,0,numeric,numeric,1,0,0,4,1,0,0,0,0,48,0,0,0,0,0
python_backend_legacy/dataset/65ea455cb4e81ddb0bdaa9c5befbc88dcb5d77afd629b477920339276155e808.json,raw_json,26,61830,1,tex_superscript,tex,17,0,0,128,17,0,0,0,0,0,0,130,0,0,303
python_backend_legacy/dataset/67bd8148750cfd55a1ae2ffcfcec18c07bc50b6ae15771174ad08a76025046e2.json,raw_json,31,101106,0,numeric,numeric,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0
python_backend_legacy/dataset/691f1e7abf8d3286cf618806f4d5ab35dd4c88fd4e6a9dd6c529c7ae7a91c210.json,raw_json,18,50144,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/69377af68158c4d63cd0fe719e1798fd8b28b76d13159f4063554fda9e59f587.json,raw_json,46,122541,0,hybrid,tex,0,0,0,0,0,0,42,0,0,7,0,0,0,0,0
python_backend_legacy/dataset/6959a4edd5f4fa32ad3410de50fcaedeced26f76bb22231390a53616fd7f8f21.json,raw_json,21,42834,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,16,15,82
python_backend_legacy/dataset/6abc864b89927bf6b6851da385d0d988c8c0104f73d7f2c1e10d2f2ad0def03b.json,raw_json,39,148082,0,numeric,numeric,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
python_backend_legacy/dataset/6ac53058f78d1393ad87b1d8ad010ae0d2200fd13cc863b9c240fa9270d0667a.json,raw_json,17,53255,0,numeric,numeric,0,0,0,0,0,0,0,0,0,48,0,0,2,0,0
python_backend_legacy/dataset/6ada9f4ac22c41cf3414528b5ce5afa351d7ac9a8567790d9e91827c892167a2.json,raw_json,49,108412,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/6b38965d7d55dccbf33bfa08ea825013240faa49667303144fb6a516866ecd55.json,raw_json,14,38789,0,hybrid,tex,0,0,0,0,0,0,15,0,0,1,0,0,1,0,0
python_backend_legacy/dataset/6d20762dc07e5dd2730176a0feefebfd8a97383c0d7736520d664badbd460f6f.json,raw_json,21,97491,0,tex_superscript,tex,12,0,0,113,7,0,0,0,0,12,0,0,6,0,0
python_backend_legacy/dataset/6de1c82e1e5cb6e81f7e1b8ebde5cbe6e87da470c7db7178b90939be24cd5366.json,raw_json,29,89964,0,numeric,numeric,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0
python_backend_legacy/dataset/6df78f5a35d3f10136d5802c62ad90fd7257501306329ce3749ab47ab14629eb.json,raw_json,39,107208,0,numeric,numeric,2,0,0,120,2,0,0,0,0,30,0,0,0,0,0
python_backend_legacy/dataset/6f7a891cd2e96f722a5a8926ba383ab36192ad9d8915a97c03e5556014ba1006.json,raw_json,32,98686,0,hybrid,tex,0,0,0,0,0,0,57,0,0,6,0,0,0,0,0
python_backend_legacy/dataset/71024ac46c16d248dd037a32e6e793a1c887d94be7f3759908ba137d2ea14e2d.json,raw_json,14,57903,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,18,18,41
python_backend_legacy/dataset/719819dbd6f33d21e7534d22f4c7576547fe44bcad1d7373af60911392f17b96.json,raw_json,35,47758,1,tex_superscript,tex,6,0,0,38,6,0,0,0,0,45,0,0,0,0,127
python_backend_legacy/dataset/72f444fc4a56f753b9760d07f85a3796b5115e093fa4c1e4da92058afa04d22a.json,raw_json,49,127758,0,tex_superscript,tex,6,0,0,62,3,0,0,0,0,10,0,0,5,0,0
