file,source_type,pages_count,text_chars,references_count,baseline_style,baseline_dominant_bucket,current_style,current_dominant_bucket,base_dom_intext_total,base_dom_success_occurrences,base_dom_bib_unique_total,base_dom_success_percentage,cur_dom_intext_total,cur_dom_success_occurrences,cur_dom_bib_unique_total,cur_dom_success_percentage,delta_dom_intext_total,delta_dom_success_occurrences,delta_dom_bib_unique_total,delta_dom_success_percentage,base_foot_intext_total,base_foot_success_occurrences,base_foot_bib_unique_total,cur_foot_intext_total,cur_foot_success_occurrences,cur_foot_bib_unique_total,delta_foot_success_occurrences,delta_foot_success_percentage,base_tex_intext_total,base_tex_success_occurrences,base_tex_bib_unique_total,cur_tex_intext_total,cur_tex_success_occurrences,cur_tex_bib_unique_total,delta_tex_success_occurrences,delta_tex_success_percentage,base_numeric_intext_total,base_numeric_success_occurrences,base_numeric_bib_unique_total,cur_numeric_intext_total,cur_numeric_success_occurrences,cur_numeric_bib_unique_total,delta_numeric_success_occurrences,delta_numeric_success_percentage,base_author_year_intext_total,base_author_year_success_occurrences,base_author_year_bib_unique_total,cur_author_year_intext_total,cur_author_year_success_occurrences,cur_author_year_bib_unique_total,delta_author_year_success_occurrences,delta_author_year_success_percentage,error
python_backend_legacy/dataset/4ede4e5f7402d5cf14446a87beb093011f1d2820a4c99cd02a4e1d70bc8fb98a.json,raw_json,12,26841,1,author_year,author_year,author_year,author_year,1,1,105,100,1,1,105,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105,1,1,105,0,0,
python_backend_legacy/dataset/4f60d45fdba5d9803a9f022b3d97a14406f6520928fa8e0a2bb1e400d17d2ddc.json,raw_json,50,149142,0,hybrid,tex,hybrid,tex,69,69,267,100,69,69,267,100,0,0,0,0,0,0,267,270,222,267,222,82.22,69,69,267,69,69,267,0,0,21,21,267,21,21,267,0,0,0,0,210,0,0,210,0,0,
python_backend_legacy/dataset/4fa0495a8c7e68bc088a7107a681261e62f97a4ef70709807b4404d1389b7795.json,raw_json,9,46481,0,superscript,tex,superscript,tex,120,120,98,100,120,120,98,100,0,0,0,0,0,0,0,93,0,0,0,0,120,120,98,120,120,98,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,
python_backend_legacy/dataset/4faad1e2c8d5f00ea9dbc87faaed2599a6398af9775ecbba5ba07e48fc1e7aea.json,raw_json,15,46511,0,superscript,tex,superscript,tex,52,52,43,100,52,52,43,100,0,0,0,0,7,0,0,49,0,0,0,0,52,52,43,52,52,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/50649fe04a702e4ffd9e548b24d5da6efb69edef5eec7abe480fc4f0e15c65a4.json,raw_json,17,67067,0,superscript,tex,superscript,tex,14,14,9,100,14,14,9,100,0,0,0,0,0,0,0,8,0,0,0,0,14,14,9,14,14,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/50667162c976944e1b76f13893d1a5e3202dab892dc7f996d7e74738bb2a8b50.json,raw_json,17,39816,0,superscript,tex,superscript,tex,75,75,38,100,75,75,38,100,0,0,0,0,0,0,0,60,0,0,0,0,75,75,38,75,75,38,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/50a0af77998fb2869ef0bc9db51ab0db92227d9650398102766d867578b4b840.json,raw_json,17,72793,0,superscript,tex,superscript,tex,124,124,67,100,124,124,67,100,0,0,0,0,5,0,0,85,0,0,0,0,124,124,67,124,124,67,0,0,6,6,6,6,6,6,0,0,0,0,116,0,0,116,0,0,
python_backend_legacy/dataset/536a46a51ac7592cf9cb70f6ce96b3637a90470bac2a82d3f31ae457246bee6a.json,raw_json,19,50957,1,hybrid,tex,hybrid,tex,20,20,86,100,20,20,86,100,0,0,0,0,0,0,0,18,0,0,0,0,20,20,86,20,20,86,0,0,18,18,43,18,18,43,0,0,0,0,71,0,0,71,0,0,
python_backend_legacy/dataset/5392aab411c616724757772f1d8053878b5af0f1ab20315cc710a14dbdc6f3ac.json,raw_json,20,58160,0,superscript,tex,superscript,tex,122,122,86,100,122,122,86,100,0,0,0,0,0,0,0,80,0,0,0,0,122,122,86,122,122,86,0,0,9,0,0,9,0,0,0,0,0,0,128,0,0,128,0,0,
python_backend_legacy/dataset/53a51e91f24184a1548545917f1b6ce13b63744ff4900c0e4e00437839d4aff5.json,raw_json,22,66032,0,superscript,tex,superscript,tex,20,20,21,100,20,20,21,100,0,0,0,0,0,0,85,12,0,85,0,0,20,20,21,20,20,21,0,0,0,0,85,0,0,85,0,0,0,0,64,0,0,64,0,0,
python_backend_legacy/dataset/53bbb7177cc708610c3800cdaa603f652fce0e0e9eedde01562d1f2f557101c7.json,raw_json,12,40516,0,superscript,tex,superscript,tex,109,109,68,100,109,109,68,100,0,0,0,0,0,0,0,72,0,0,0,0,109,109,68,109,109,68,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,0,0,
python_backend_legacy/dataset/53d39750ebd59d200b880227caaa0cf7fddceb3f07cb50e8ae992fe37c225ed6.json,raw_json,10,28626,0,numeric,numeric,numeric,numeric,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/53da4f0ff27b6f020308b6f3b12afce51d07041c38e9c5c278df3a812dbec111.json,raw_json,26,69972,1,author_year,author_year,author_year,author_year,40,39,118,97.5,40,39,118,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,40,39,118,40,39,118,0,0,
python_backend_legacy/dataset/53fce3da236a6c938d98227ae2e0f400e231fc53f90a792b8756c5be62a8da99.json,raw_json,8,35074,1,author_year,author_year,author_year,author_year,56,54,33,96.43,56,54,33,96.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,54,33,56,54,33,0,0,
python_backend_legacy/dataset/54f2c1cbdf058075c878ea7c1249ce91155ee51a7ff80ff6dffb25ad1bcd8a47.json,raw_json,42,119072,0,hybrid,tex,hybrid,tex,49,49,227,100,49,49,227,100,0,0,0,0,0,0,227,12,8,227,8,66.67,49,49,227,49,49,227,0,0,7,7,227,7,7,227,0,0,0,0,165,0,0,165,0,0,
python_backend_legacy/dataset/54f2ddf2f4bd818e65b36dd3e9c7531123afced7b4e6d58b1967c32d971c19f8.json,raw_json,16,54397,0,superscript,tex,superscript,tex,94,94,47,100,94,94,47,100,0,0,0,0,0,0,0,64,0,0,0,0,94,94,47,94,94,47,0,0,0,0,3,0,0,3,0,0,1,0,59,1,0,59,0,0,
python_backend_legacy/dataset/5513c0fd719b5f5feb244b817c6176bccc80b8fdac2b65a925947a5a0d4790fd.json,raw_json,15,36448,0,numeric,numeric,numeric,numeric,1,1,36,100,1,1,36,100,0,0,0,0,0,0,36,2,0,36,0,0,0,0,36,0,0,36,0,0,1,1,36,1,1,36,0,0,0,0,62,0,0,62,0,0,
python_backend_legacy/dataset/559626b7e4ab0216f04e4f6310f85292ce55542e42759a5522f5f2ad28de0bed.json,raw_json,45,114324,0,hybrid,tex,hybrid,tex,54,54,217,100,54,54,217,100,0,0,0,0,0,0,217,9,9,217,9,100,54,54,217,54,54,217,0,0,3,3,217,3,3,217,0,0,0,0,67,0,0,67,0,0,
python_backend_legacy/dataset/559b688d7359f8d8b061ad93b3c451d879f4dd4e6711d6fd4158241a062f4bd9.json,raw_json,23,53703,1,hybrid,tex,hybrid,tex,69,69,150,100,69,69,150,100,0,0,0,0,0,0,0,0,0,0,0,0,69,69,150,69,69,150,0,0,74,74,75,74,74,75,0,0,0,0,126,0,0,126,0,0,
python_backend_legacy/dataset/571d549c6caa8b3a603006d3d63034ad73c0e8f85cc2d531c867d3416d4c124e.json,raw_json,42,106804,0,tex_superscript,tex,tex_superscript,tex,0,0,219,0,0,0,219,0,0,0,0,0,0,0,219,0,0,219,0,0,0,0,219,0,0,219,0,0,0,0,219,0,0,219,0,0,0,0,74,0,0,74,0,0,
